Price,Area,Floor,Rooms,Total_Floor,Floor/Total_Flor
412000000,58,9,2,9,1
757000000,85,6,3,9,0.666666667
523000000,41.46,1,2,4,0.25
878000000,100,3,4,9,0.333333333
623000000,59,1,2,5,0.2
648000000,108,8,4,9,0.888888889
378000000,76.7,1,3,2,0.5
345000000,56.28,2,2,2,1
703000000,100,9,4,9,1
305000000,58.4,1,2,2,0.5
324000000,58.2,2,2,4,0.5
648000000,66,2,2,3,0.666666667
565000000,76,4,3,5,0.8
351000000,57,5,2,5,1
900000000,131,5,4,9,0.555555556
540000000,77.08,4,3,5,0.8
540000000,93,9,4,9,1
879000000,90,9,3,9,1
894000000,92,5,4,5,1
483000000,54,2,2,4,0.5
1055000000,89,1,4,9,0.111111111
1291000000,223,7,7,7,1
226000000,30,9,1,9,1
826000000,67,4,2,4,1
947000000,100,5,3,9,0.555555556
537000000,65,9,2,9,1
455000000,58,3,2,4,0.75
502000000,78,5,3,5,1
562000000,58,1,2,5,0.2
865000000,108,6,4,9,0.666666667
561000000,75,3,3,9,0.333333333
571000000,47,5,2,9,0.555555556
560000000,50,2,2,4,0.5
571000000,53,8,2,9,0.888888889
648000000,84,2,4,4,0.5
334000000,58.42,4,2,4,1
486000000,69.23,5,3,9,0.555555556
501000000,59,2,2,7,0.285714286
659000000,65,5,3,5,1
917000000,200,7,5,7,1
790000000,100,2,3,7,0.285714286
902000000,100,2,3,3,0.666666667
346000000,36,1,1,4,0.25
368000000,38,1,1,4,0.25
1083000000,74,1,3,4,0.25
1063000000,101,3,4,9,0.333333333
540000000,56,3,2,9,0.333333333
810000000,99,1,4,5,0.2
323000000,42,1,1,4,0.25
680000000,61,8,2,9,0.888888889
810000000,99,1,4,5,0.2
248000000,47,9,2,9,1
400000000,53,4,2,5,0.8
1237000000,80,2,3,4,0.5
756000000,84,3,3,5,0.6
510000000,58,1,2,4,0.25
683000000,94,2,4,9,0.222222222
261000000,35,6,1,7,0.857142857
